"","site","quads","Lat","Long","MAT","MAP","TSD","PCV","%Sand","%N","BA"
"21646",3081,80,45.6152,-88.3887,5.487039157,831.5060854,11.08351559,0.557714484,56,0.3,14.0306
"21831",3086,120,45.29,-88.5617,5.586783312,861.2913719,11.17424299,0.580169367,81,0.14,46.9099
"22016",3087,80,44.9669,-88.4462,6.482792341,842.6113459,11.18417643,0.621048248,51,0.23,19.2642
"22201",3088,80,45.0237,-88.2384,6.467994538,848.9038759,11.0411954,0.576678252,73,0.11,29.2611
"22386",3090,80,44.8686,-88.0504,6.844431958,832.0727738,10.88905043,0.595278554,85,0.13,26.6263
"22571",3091,80,44.8183,-88.197,6.929355903,812.482465,11.00431161,0.600847851,65,0.28,11.2187
"22756",3092,120,45.79,-88.405,5.321056758,808.1485515,11.05883081,0.562041842,59,0.19,7.8367
"22941",3094,80,45.8489,-88.3834,5.267904727,799.274781,11.04376018,0.572099808,35,0.34,15.7032
"23126",3097,80,45.7047,-91.7291,6.05258943,887.6890634,12.02494526,0.662017021,29,0.22,17.1605
"23311",3099,60,46.3511,-91.8156,5.136428735,844.337681,11.90337521,0.719950622,79,0.2,29.3415
"23496",3100,80,45.6846,-91.673,5.986769616,907.8248648,12.00490893,0.649626674,39,0.29,21.7603
"23681",3101,80,45.6748,-91.6839,6.001512548,904.7803737,12.01057675,0.651389379,31,0.3,12.3476
"23866",3104,80,45.6444,-91.7219,6.05707816,898.3345236,12.02423633,0.657682289,33,0.38,18.2612
"24051",3105,80,45.8544,-91.5166,5.53344123,971.3585975,11.82409315,0.636427455,57,0.22,16.5426
"24236",3107,80,46.1211,-91.3564,5.420254192,884.7364487,11.62156342,0.619126675,75,0.2,36.641
"24421",3113,80,46.1428,-89.337,4.728399097,857.6838134,11.39597169,0.560449685,81,0.17,11.8322
"24606",3116,120,46.0817,-89.6083,4.714591135,844.0356308,11.45691546,0.555725291,75,0.14,18.0291
"24791",3117,120,46.0433,-89.5183,4.737929879,841.5341196,11.44570582,0.563468845,79,0.15,10.0442
"24976",3125,80,45.7635,-90.7843,5.3105083,915.8414629,11.64606961,0.602502894,57,0.32,13.8206
"25161",3126,80,45.7592,-90.7144,5.277866625,909.215821,11.62198932,0.597556197,29,0.33,7.1845
"25346",3127.5,120,46.025,-89.573333,4.732151937,837.6831863,11.45880562,0.565852902,85,0.09,49.2275
"25531",3129,120,46.0783,-89.5883,4.71593455,844.1136775,11.4523419,0.556073467,83,0.13,24.299
"25716",3130,120,45.9867,-89.685,4.695378589,828.4048731,11.49917613,0.580990209,67,0.15,19.7605
"25901",3132,120,45.9533,-89.8683,4.720677027,832.3532707,11.50519932,0.58162534,85,0.11,28.7164
"26086",3134,120,46.2883,-90.6033,4.921018968,899.9401112,11.31550173,0.549966901,69,0.32,27.7554
"26271",3139,120,46.4367,-90.525,4.775532786,920.998333,11.26151992,0.506796276,45,0.25,25.355
"26456",3140,120,46.1233,-90.01,4.699677697,851.2258936,11.46151859,0.56938551,87,0.2,39.736
"26641",3142,120,46.0233,-89.6333,4.720401661,835.2782279,11.47543244,0.568283392,82,0.12,16.3242
"26826",3144,120,45.57,-88.7933,4.878964375,833.4555339,11.22276563,0.566960064,39,0.26,22.252
"27011",3146,120,45.4067,-88.865,5.237492213,841.0921694,11.29829612,0.578329066,61,0.18,21.1755
"27196",3147,120,45.405,-88.8683,5.243963016,841.1095751,11.30000182,0.579002646,55,0.2,28.5315
"27381",3148,80,45.6192,-89.3494,5.262335738,832.6415517,11.5190302,0.603087342,53,0.21,14.3873
"27566",3149,40,45.6634,-89.4492,5.422254784,837.0605694,11.5268259,0.615844879,79,0.2,12.5823
"27751",3150,120,46.08,-89.7167,4.704361565,840.270728,11.48900722,0.564215619,81,0.13,12.1536
"27936",3151,120,45.805,-89.5883,4.944036888,826.5064997,11.50109603,0.585314926,79,0.155,17.6227
"28121",3153,120,46.0283,-89.6167,4.721694112,836.6049971,11.46892478,0.5662096,79,0.12,12.5045
"28306",3294,50,44.1809,-90.2778,7.137669123,864.4885495,11.4783257,0.789699578,83.36,0.1,22.61399604
"28491",3299,50,44.1431,-90.2994,7.122894339,866.7836309,11.46680487,0.79237928,81.87,0.102,25.75008974
"28676",3302,50,44.1365,-90.3187,7.087672056,869.0662075,11.46213798,0.796604253,86.63,0.089,33.38561413
"28861",3303,50,44.1335,-90.3143,7.101109649,868.4609013,11.46260084,0.795356831,88.3,0.07,18.97227086
"29046",3311,50,44.2814,-90.8213,7.271577327,882.4188875,11.66269201,0.714921892,88.95,0.051,34.9043845
"29231",4005,21,42.5217898,-89.3077807,8.61373863,915.9670631,11.00786277,0.672093615,67,0.32,40.08174428
"29416",4011,42,44.0191914,-91.4961315,8.583775568,834.661226,11.78252602,0.713899548,77,0.3,22.63347767
"29601",4012,35,42.7354262,-89.4751075,8.42265824,931.9086007,11.06094753,0.677826293,63,0.29,32.40712951
"29786",4026,42,44.1845033,-88.1717015,7.602752614,766.0418959,10.95679737,0.648408532,51,0.7,37.575349
"29971",4030,28,44.0653265,-89.7940099,7.571745599,845.0138084,11.45585937,0.737968188,66,0.55,28.35809251
"30156",4031,42,44.049165,-90.012784,7.817300187,827.589023,11.4402296,0.807539805,46,0.34,15.64687613
"30341",4035,42,44.022371,-91.338839,8.437205654,834.6834301,11.75862752,0.734421722,46,0.23,21.10584519
"30526",4036,42,44.4268114,-92.0771498,7.92840125,905.1763003,11.98510136,0.735992448,69,0.16,28.57591635
"30711",4037,42,44.1480974,-91.7338295,8.569634011,846.286569,11.91146567,0.739625995,51,0.66,39.47093555
"30896",4047,42,44.1689111,-88.7541144,7.556041251,815.4415716,11.29433017,0.675612167,45.456,0.82,22.41502676
"31081",4049,42,43.5570248,-87.8562945,8.173878378,845.9697721,10.58610774,0.69473303,65,0.93,33.92993285
"31266",4050,42,43.47189,-87.978992,8.246748695,853.8419786,10.65554664,0.699803406,74,0.81,30.22984568
"31451",4052,30,43.1101183,-88.8661882,8.522492607,913.4880622,10.98458525,0.735308159,39,0.61,36.29130298
"31636",4056,20,42.926885,-88.269408,8.671492515,883.6167307,10.71386933,0.694346046,41,1.38,23.33432514
"31821",4063,25,44.243272,-90.8813696,7.503450863,874.6796841,11.67025582,0.71657353,60,0.27,31.10716791
"32006",4065,42,42.7699232,-91.0657344,9.127560149,863.6480922,11.33883254,0.764443776,17,0.41,24.35976414
"32191",4068,42,43.5022089,-89.4619395,8.14931072,919.1091403,11.23603529,0.743018785,34,0.36,17.51231643
"32376",4069,42,43.5563699,-89.5852533,7.918179188,927.3724686,11.27623531,0.709332878,77,0.29,31.55237905
"32561",4070,42,43.7676526,-89.8902924,7.712569516,880.7404373,11.35961033,0.718804932,55,0.26,28.39571584
"32746",4073,42,44.331655,-88.840038,7.314531164,841.10812,11.35573502,0.660842933,34,0.27,31.37876753
"32931",4074,42,43.835504,-89.390355,7.883642366,881.9950487,11.35644263,0.714834539,80,0.69,22.94041666
"33116",4076,42,43.160357,-90.1552333,7.878935512,943.1586395,11.21281025,0.719171878,17,0.37,22.07426916
"33301",4079,42,44.4174105,-87.764519,7.417548389,773.1059503,10.54570821,0.608169039,54,1.12,18.57921754
"33486",4081,42,44.2055935,-87.8627592,7.577819092,767.3828664,10.60129415,0.635025214,66,1.34,36.18025112
"33671",4084,42,43.6077066,-87.95037,8.119840091,833.9532524,10.62939488,0.680907591,36,0.82,33.98801556
"33856",4088,42,43.2015012,-90.5753329,8.235188599,901.6626415,11.30794824,0.751584521,69,0.28,20.88594185
"34041",4096,42,44.0799799,-91.6507403,8.85699946,861.7675773,11.91819987,0.725720306,35,0.46,44.04559998
"34226",4100,42,44.4700552,-89.5608352,6.991980518,823.1284487,11.61001617,0.745548437,69,0.24,50.7128026
"34411",4111,42,43.1660174,-90.0394331,7.899646229,951.1334152,11.19885018,0.707434269,81,0.19,29.74461976
"34596",4115,42,44.6176332,-87.85436,7.088508437,788.6169351,10.7041661,0.595601248,87,0.75,21.38556128
"34781",4117,42,43.9693605,-91.3320699,8.522624135,832.9374771,11.74872351,0.718949417,29,0.4,32.88118794
