Binomial_correct,WD,lnSM,LMA,Hmax,DS
Eschweilera cyathiformis,0.802024312,8.074482798,89.20224469,28.52898551,SynZoo
Eschweilera grandiflora,0.765375,6.907755279,70.91205774,44,SynZoo
Eschweilera micrantha,0.86,8.074482798,94.95900622,32.5,SynZoo
Eschweilera ovata,0.94156,7.553346598,90.09949872,33,SynZoo
Eschweilera paniculata,0.802024312,8.074482798,89.20224469,28.52898551,SynZoo
Eschweilera parviflora,0.917855,7.60090246,136.7,25,SynZoo
Eschweilera parvifolia,0.796,8.074482798,95.44488343,25,SynZoo
Eschweilera pedicellata,0.867,8.074482798,89.44859109,30,SynZoo
Eschweilera piresii,0.802024312,8.074482798,89.20224469,28.52898551,SynZoo
Eschweilera pseudodecolorans,0.802024312,8.074482798,89.20224469,28.52898551,SynZoo
Eschweilera romeu-cardosoi,0.802024312,8.268731832,99.19999997,30,SynZoo
Eschweilera tessmannii,0.789,8.074482798,89.20224469,28.52898551,SynZoo
Eschweilera truncata,0.77,7.60090246,96.07080704,37,SynZoo
Eschweilera wachenheimii,0.8055,8.074482798,78.48127686,30,SynZoo
Esenbeckia leiocarpa,0.96025,4.5271654,44.49999999,30,NonZoo
Esenbeckia pilocarpoides,0.94695804,4.740522767,57.23243837,8,NonZoo
Eugenia adenantha,0.744761513,7.749435104,83.91741034,11.49492898,EndoZoo
Eugenia astringens,0.724835532,7.749435104,120.141179,22,EndoZoo
Eugenia ayacuchae,0.744761513,7.749435104,83.91741034,11.49492898,EndoZoo
Eugenia bahiensis,0.726,7.749435104,83.91741034,15,EndoZoo
Eugenia belemitana,0.744761513,7.749435104,83.91741034,11.49492898,EndoZoo
Eugenia cerasiflora,0.65,6.412208405,83.91741034,25,EndoZoo
